address	vendor
001C04	Airgain
000AF5	Airgo Networks
58F387	Airios
C4CB6B	Airista Flow
00143E	AirLink Communications
0023D3	AirLink WiFi Networking Corp
000B24	AirLogic
001F76	AirLogic Systems
000DC8	AirMagnet
14EE9D	AirNav Systems LLC
C42628	Airo Wireless
00051D	Airocon
0CFC83	Airoha Technology Corp.
942957	Airpo Networks Technology
4C60D5	airPointe of New Hampshire
587BE9	AirPro Technology India Pvt.
00068B	AirRunner Technologies
60CBFB	AirScape
3C7873	Airsonics
E81367	AIRSOUND
00A00A	Airspan
0001AA	Airspan Communications
000165	AirSwitch Corporation
384B76	AIRTAME ApS
8CB094	Airtech I&C Co.
00224B	AIRTECH TECHNOLOGIES
8841FC	AirTies Wireless Networks
F417B8	AirTies Wireless Networks
001CA8	AirTies Wireless Networks
A02D13	AirTies Wireless Networks
182861	AirTies Wireless Networks
0005B9	Airvana
000AE9	AirVast Technology
A4F9E4	AirVine Scientific
001BB4	Airvod Limited
E4C62B	Airware
000DDB	AIRWAVE TECHNOLOGIES
1C14B3	Airwire Technologies
E0C286	Aisai Communication Technology Co.
001E43	AISIN Corporation
409558	Aisino Corporation
40987B	Aisino Corporation
006036	AIT Austrian Institute of Technology GmbH
00807A	AITECH SYSTEMS
0CB088	AITelecom
30B5F1	Aitexin Technology Co.
04B97D	AiVIS Co., Itd
ACA613	Aivres SYSTEMS
005071	AIWA CO.
A8016D	Aiwa Corporation
001295	Aiware
C09573	AIxLink
001547	AiZen Solutions
A8995C	aizo ag
000C17	AJA Video Systems
9C756E	Ajax Systems DMCC
00B0EE	Ajile Systems
001A3D	Ajin Vision
002393	AJINEXTEK
002683	Ajoho Enterprise Co.
08BBCC	AK-NORD EDV VERTRIEBSGES. mbH
00E175	AK-Systems
0020C7	AKAI Professional M.I. Corp
001CA1	Akamai Technologies
002218	Akamai Technologies
003076	Akamba Corporation
0003E9	Akara Canada
000CF4	AKATSUKI ELECTRIC MFG.
000BDC	AKCP
101A92	AKEBONO BRAKE INDUSTRY
387B47	AKELA
D42F23	Akenori PTE
A895B0	Aker Subsea
B4827B	AKG Acoustics GmbH
E80B13	Akib Systems Taiwan
0013F5	Akimbi Systems
000B8F	AKITA ELECTRONICS SYSTEMS
00092F	Akom Technology Corporation
001488	Akorri
002201	Aksys Networks
000ED9	Aksys
0C1105	AKUVOX (XIAMEN) NETWORKS CO.
DCDECA	Akyllor
001042	Alacritech
002242	Alacron
0020E1	ALAMAR ELECTRONICS
00D0A4	ALANTRO COMMUNICATIONS
00D075	ALARIS MEDICAL SYSTEMS
00B094	Alaris
001CFA	Alarm.com
B83A9D	Alarm.com
504074	Alarm.com
D4354A	ALAXALA Networks Corporation
0012E2	ALAXALA Networks Corporation
50A0BF	Alba Fiber Systems
3C106F	ALBAHITH TECHNOLOGIES
000A48	Albatron Technology
00DB1E	Albedo Telecom SL
001F4A	Albentia Systems S.A
0080C9	ALBERTA MICROELECTRONIC CENTRE
001AD0	Albis Technologies AG
0022D1	Albrecht Jung GmbH & Co. KG
001D21	Alcad SL
00C0BE	ALCATEL - SEL
00153F	Alcatel Alenia Space Italia
000F62	Alcatel Bell Space N.V
008021	Alcatel Canada
00A081	ALCATEL DATA NETWORKS
00113F	Alcatel DI
002060	ALCATEL ITALIA S.p.A
84A783	Alcatel Lucent
